"(0, 0)",D,0
"(0, 1)",D,0
"(0, 2)",D,0
"(0, 3)",C,0
"(0, 4)",C,0
"(0, 5)",D,0
"(0, 6)",D,0
"(0, 7)",C,0
"(0, 8)",C,0
"(0, 9)",C,0
"(0, 10)",D,0
"(0, 11)",D,0
"(0, 12)",C,0
"(0, 13)",D,0
"(0, 14)",D,0
"(0, 15)",D,0
"(0, 16)",D,0
"(0, 17)",C,0
"(0, 18)",D,0
"(0, 19)",C,0
"(0, 20)",D,0
"(0, 21)",C,0
"(0, 22)",D,0
"(0, 23)",C,0
"(0, 24)",C,0
"(0, 25)",D,0
"(0, 26)",D,0
"(0, 27)",D,0
"(0, 28)",C,0
"(0, 29)",C,0
"(0, 30)",D,0
"(0, 31)",D,0
"(0, 32)",C,0
"(0, 33)",C,0
"(0, 34)",D,0
"(0, 35)",D,0
"(0, 36)",C,0
"(0, 37)",D,0
"(0, 38)",C,0
"(0, 39)",C,0
"(0, 40)",C,0
"(0, 41)",D,0
"(0, 42)",D,0
"(0, 43)",C,0
"(0, 44)",D,0
"(0, 45)",D,0
"(0, 46)",C,0
"(0, 47)",C,0
"(0, 48)",D,0
"(0, 49)",C,0
"(1, 0)",D,0
"(1, 1)",C,0
"(1, 2)",D,0
"(1, 3)",C,0
"(1, 4)",C,0
"(1, 5)",D,0
"(1, 6)",C,0
"(1, 7)",C,0
"(1, 8)",C,0
"(1, 9)",C,0
"(1, 10)",C,0
"(1, 11)",D,0
"(1, 12)",D,0
"(1, 13)",C,0
"(1, 14)",C,0
"(1, 15)",D,0
"(1, 16)",D,0
"(1, 17)",D,0
"(1, 18)",D,0
"(1, 19)",C,0
"(1, 20)",C,0
"(1, 21)",D,0
"(1, 22)",D,0
"(1, 23)",D,0
"(1, 24)",D,0
"(1, 25)",D,0
"(1, 26)",D,0
"(1, 27)",D,0
"(1, 28)",C,0
"(1, 29)",D,0
"(1, 30)",C,0
"(1, 31)",C,0
"(1, 32)",C,0
"(1, 33)",C,0
"(1, 34)",C,0
"(1, 35)",C,0
"(1, 36)",C,0
"(1, 37)",D,0
"(1, 38)",D,0
"(1, 39)",D,0
"(1, 40)",D,0
"(1, 41)",C,0
"(1, 42)",C,0
"(1, 43)",D,0
"(1, 44)",C,0
"(1, 45)",C,0
"(1, 46)",C,0
"(1, 47)",C,0
"(1, 48)",C,0
"(1, 49)",D,0
"(2, 0)",D,0
"(2, 1)",C,0
"(2, 2)",D,0
"(2, 3)",C,0
"(2, 4)",C,0
"(2, 5)",C,0
"(2, 6)",D,0
"(2, 7)",C,0
"(2, 8)",D,0
"(2, 9)",D,0
"(2, 10)",C,0
"(2, 11)",D,0
"(2, 12)",D,0
"(2, 13)",D,0
"(2, 14)",C,0
"(2, 15)",C,0
"(2, 16)",D,0
"(2, 17)",D,0
"(2, 18)",D,0
"(2, 19)",C,0
"(2, 20)",C,0
"(2, 21)",C,0
"(2, 22)",D,0
"(2, 23)",D,0
"(2, 24)",C,0
"(2, 25)",D,0
"(2, 26)",D,0
"(2, 27)",C,0
"(2, 28)",D,0
"(2, 29)",D,0
"(2, 30)",C,0
"(2, 31)",C,0
"(2, 32)",C,0
"(2, 33)",D,0
"(2, 34)",C,0
"(2, 35)",D,0
"(2, 36)",D,0
"(2, 37)",D,0
"(2, 38)",C,0
"(2, 39)",D,0
"(2, 40)",D,0
"(2, 41)",C,0
"(2, 42)",C,0
"(2, 43)",D,0
"(2, 44)",D,0
"(2, 45)",C,0
"(2, 46)",D,0
"(2, 47)",C,0
"(2, 48)",C,0
"(2, 49)",D,0
"(3, 0)",C,0
"(3, 1)",C,0
"(3, 2)",C,0
"(3, 3)",D,0
"(3, 4)",C,0
"(3, 5)",C,0
"(3, 6)",C,0
"(3, 7)",D,0
"(3, 8)",C,0
"(3, 9)",C,0
"(3, 10)",C,0
"(3, 11)",C,0
"(3, 12)",D,0
"(3, 13)",C,0
"(3, 14)",D,0
"(3, 15)",D,0
